,date,year,month,day,time_of_day,damage_level,damage_level_sort,flight_phase,state,airport,operator,speed,aircraft_model,bird_size,species
8874,2001-08-08,2001,8,8,Day,Minor,2,Landing Roll,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,,MD-80,Small,Rock pigeon
8875,2001-08-08,2001,8,8,Day,None,1,Climb,Michigan,DETROIT METRO WAYNE COUNTY ARPT,EXPRESSJET (CONTINENTAL EXPRS),125.0,ATR-42,Small,Unknown bird - small
8876,2001-08-08,2001,8,8,Day,None,1,Take-off run,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,130.0,B-52H,Small,Barn swallow
8877,2001-08-08,2001,8,8,Dusk,None,1,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,FRONTIER AIRLINES,230.0,B-737-300,Small,Unknown bird - small
8878,2001-08-08,2001,8,8,Dusk,None,1,Landing Roll,Florida,ORLANDO INTL,SOUTHWEST AIRLINES,110.0,B-737-200,Small,Unknown bird - small
8879,2001-08-08,2001,8,8,Night,None,1,Approach,Indiana,INDIANAPOLIS INTL,FEDEX EXPRESS,,B-727-200,Small,Unknown bird - small
8880,2001-08-09,2001,8,9,Day,None,1,Approach,Arizona,PHOENIX SKY HARBOR,AMERICA WEST AIRLINES,,B-757-200,Large,Unknown bird - large
8881,2001-08-09,2001,8,9,Day,Minor,2,Climb,Pennsylvania,PHILADELPHIA INTL,US AIRWAYS*,240.0,B-737-400,Medium,Unknown bird - medium
8882,2001-08-09,2001,8,9,Day,None,1,Landing Roll,Missouri,LAMBERT-ST LOUIS INTL,TRANS WORLD AIRLINES,,B-757-200,Medium,Unknown bird - medium
8883,2001-08-09,2001,8,9,Dawn,None,1,Climb,Maryland,BALTIMORE WASH INTL,AMERICA WEST AIRLINES,220.0,A-320,Small,Unknown bird - small
8884,2001-08-09,2001,8,9,Day,None,1,Climb,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,240.0,T-38A,Small,American robin
8885,2001-08-10,2001,8,10,Day,Minor,2,Approach,Texas,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,130.0,MD-80,Small,Rock pigeon
8886,2001-08-10,2001,8,10,Day,None,1,Climb,Colorado,DENVER INTL AIRPORT,AIR CANADA,140.0,BA-146-200,Small,Unknown bird - small
8887,2001-08-11,2001,8,11,Dawn,None,1,Climb,New York,LAGUARDIA NY,AMERICAN AIRLINES,165.0,MD-82,Small,Unknown bird - small
8888,2001-08-11,2001,8,11,Day,None,1,Take-off run,New Jersey,TETERBORO AIRPORT,BUSINESS,,LEARJET-35,Small,Rock pigeon
8889,2001-08-12,2001,8,12,Day,None,1,Approach,California,SACRAMENTO INTL,UNITED AIRLINES,,B-737-500,Medium,Unknown bird - medium
8890,2001-08-12,2001,8,12,Dusk,None,1,Approach,North Carolina,CHARLOTTE/DOUGLAS INTL ARPT,PIEDMONT AIRLINES,95.0,DHC8 DASH 8,Medium,Unknown bird - medium
8891,2001-08-12,2001,8,12,Dawn,None,1,Take-off run,Kentucky,LOUISVILLE INTL ARPT,DELTA AIR LINES,100.0,B-727,Small,Eastern meadowlark
8892,2001-08-12,2001,8,12,Day,None,1,Approach,Missouri,KANSAS CITY INTL,SOUTHWEST AIRLINES,140.0,B-737-700,Small,Western meadowlark
8893,2001-08-12,2001,8,12,Day,None,1,Approach,Pennsylvania,GREATER PITTSBURGH,US AIRWAYS*,130.0,B-737-300,Small,Unknown bird - small
8894,2001-08-12,2001,8,12,Day,None,1,Take-off run,Kentucky,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DELTA AIR LINES,,MD-80,Small,Eastern meadowlark
8895,2001-08-13,2001,8,13,Day,None,1,Approach,Louisiana,BARKSDALE AIR FORCE BASE ARPT,MILITARY,140.0,B-52H,Medium,Unknown bird or bat
